jcat,piece,type,inclination,reentry_date,dry_mass
S29266,2006-030F,C  M        ,62.86,2006-09-02T00:00:00Z,      0 
S29386,2006-035B,R2          ,62.99,2006-10-03T00:00:00Z,   4006 
S29394,2006-037B,R2          ,97.23,2012-02-16T00:00:00Z,   4000 
S29399,2006-038B,R3          ,25.32,2006-11-08T00:00:00Z,   2800 
S29401,2006-040B,R3          ,51.66,2006-09-21T00:00:00Z,   2350 
S29403,2006-039B,R3          ,64.91,2006-09-19T00:00:00Z,   2350 
S29480,2006-041B,R3          ,98.32,2009-10-20T00:00:00Z,    900 
S29487,2006-042B,R3          ,39.96,2013-12-27T00:00:00Z,    132 
S29488,2006-042C,R2          ,33.65,2006-12-23T00:00:00Z,    924 
S29497,2006-043D,R2          ,7.01,2008-07-21T00:00:00Z,   5000 
S29504,2006-045B,R3          ,51.63,2006-10-27T00:00:00Z,   2350 
S29508,2006-046D,C  A        ,97.71,2017-04-20T00:00:00Z,     50 
S29512,2006-047C,R2          ,24.56,2007-11-01T00:00:00Z,    919 
S29513,2006-047D,C  A        ,28.44,2006-10-26T00:00:00Z,      0 
S29602,2006-052B,R3          ,39.93,2011-06-21T00:00:00Z,    132 
S29603,2006-052C,R2          ,32.66,2007-05-06T00:00:00Z,    924 
S29641,2006-053B,R3          ,24.79,2006-12-09T09:10:00Z,   2800 
S29645,2006-054C,C  A        ,2.29,2016-07-21T00:00:00Z,    440 
S29652,2006-057B,R2      C   ,58.5,2006-12-17T00:00:00Z,    924 
S29654,2006-058B,R4          ,40.02,2011-04-02T00:00:00Z,    410 
S29659,2006-060B,R2          ,98.16,2014-03-30T20:15:00Z,   1434 
S29666,2006-055H,C -A-S-     ,51.64,2007-04-24T00:00:00Z,     19 
S29669,2006-061B,R4          ,62.82,2022-03-10T01:27:00Z,   1000 
S29674,2006-062E,R3          ,64.72,2006-12-26T05:40:00Z,   4185 
S29675,2006-062F,C  A        ,64.8,2006-12-26T08:30:00Z,    800 
S29679,2006-063B,R3          ,90.01,2007-01-04T13:15:00Z,   2710 
S29715,2007-002B,R3          ,51.63,2007-01-20T00:00:00Z,   2350 
S30585,2007-004F,R2          ,22.12,2007-07-16T00:00:00Z,    924 
S30588,2007-005C,R2      C   ,97.22,2011-04-18T00:00:00Z,   4000 
S30590,2007-005E,C  A    C   ,97.24,2011-09-20T00:00:00Z,    300 
S30778,2007-006G,R2          ,35.7,2014-12-22T09:30:00Z,   2020 
S30796,2007-007D,C  A        ,4.43,2013-04-06T19:05:00Z,    440 
S31101,2007-008B,R3          ,51.65,2007-04-11T00:00:00Z,   2350 
S31116,2007-011B,R3          ,54.9,2017-07-18T00:00:00Z,   2800 
S31134,2007-006H,C  A        ,46.03,2012-09-27T00:00:00Z,     10 
S31136,2007-013B,R4          ,2.49,2022-07-18T18:44:00Z,    920 
S31141,2007-014B,R4          ,48.23,2007-09-26T00:00:00Z,    410 
S31309,2007-016D,C  A        ,6.03,2018-04-03T11:50:00Z,    440 
S31394,2007-017B,R3          ,51.62,2007-05-15T00:00:00Z,   2350 
